"","c.0.84201328746868..0.0290953630408903..0.274160742915149..0.0994058639991168.."
"1",0.84201328746868
"2",0.0290953630408903
"3",0.274160742915149
"4",0.0994058639991168
"5",0.288597825499985
"6",0.64329519523517
"7",0.0498169645931028
"8",0.295053240035429
"9",0.493400880538911
"10",0.164120571717615
"11",0.0596952769733639
"12",0.230633135533126
"13",0.148805399319327
"14",0.425906927523987
"15",0.656624415567378
"16",0.499343052012717
"17",0.255356152192942
"18",0.0552736864717049
"19",0.0234933317686275
"20",0.132912985831017
"21",0.773082437787328
"22",0.00724993397917926
"23",0.685269018884884
"24",0.00693542838820693
"25",0.0349776658482889
"26",0.965580534532093
"27",0.608309185257483
"28",0.0642451342913512
"29",0.0234259165002597
"30",0.0133754673311401
"31",0.438109520659317
"32",0.102920753160559
"33",0.0110769213199615
"34",0.0978994801973357
"35",0.032325009814327
"36",0.275207080153583
"37",0.0161500014416284
"38",0.0681304102573611
"39",0.102987582490408
"40",0.575562154248147
"41",0.238613948195344
"42",0.187393688329583
"43",0.430198505679808
"44",0.0215807320081347
"45",0.0720432469593384
"46",0.160122787591413
"47",0.00294971969218007
"48",0.00166689060116371
"49",0.100126569273025
"50",0.340696556668296
"51",0.365876067727597
"52",0.00604023715408427
"53",0.266502666540211
"54",0.307876333017279
"55",0.378115492978376
"56",0.852563542687071
"57",0.0969504953074761
"58",0.330181990922422
"59",0.907762087687044
"60",0.405802851372175
"61",0.00130418185418444
"62",0.0187368498394228
"63",0.393096330315756
"64",0.854403300185816
"65",0.000384232786359289
"66",0.407115381516384
"67",0.286663947898521
"68",0.515939393006149
"69",0.00474472094219576
"70",0.0245349480625933
"71",0.00245671299277434
"72",0.279655920319298
"73",0.931922624465182
"74",0.0848540556053552
"75",0.0236951734037929
"76",0.0974839532959428
"77",0.309369630117272
"78",0.573208918891336
"79",0.0878931697868621
"80",0.976446178371894
"81",0.201030801768671
"82",0.161455207042647
"83",0.266024599933155
"84",0.139850689163647
"85",0.0143130384029915
"86",0.0544248819970108
"87",0.96713361142049
"88",0.440250329224335
"89",0.703757518060784
"90",0.671133901874234
"91",0.509126624845464
"92",0.000135807302931831
"93",0.102112862063843
"94",0.142558117960498
"95",0.0462188182464659
"96",0.139225057194165
"97",0.825708931205369
"98",0.596304601930366
"99",0.00169662047964211
"100",0.364461679614379
"101",0.470807704789223
"102",0.476232561597393
"103",0.00139320011282395
"104",0.0601915223341797
"105",0.508504348669693
"106",0.262953310449188
"107",0.0693391247899687
"108",0.120839951699673
"109",0.387778591076318
"110",0.0438438418811863
"111",0.843609573901325
"112",0.0435516033557044
"113",0.436674520218351
"114",0.512644498058914
"115",0.301697947968311
"116",0.00312821038241431
"117",0.019352100968104
"118",0.847532520829469
"119",0.131689477604042
"120",0.175408205072856
"121",0.193754678779033
"122",0.973304017145475
"123",0.696516574863821
"124",0.972117625273627
"125",0.346057406023273
"126",0.504012921648778
"127",0.083363643447206
"128",0.725950216138431
"129",0.150856246396863
"130",0.0247454932243372
"131",0.526961472028327
"132",0.0494460163188731
"133",0.000200115777393168
"134",0.185355591765231
"135",0.767555132373935
"136",0.518217230943096
"137",0.747490197969627
"138",0.0299029791065803
"139",0.0735790388491237
"140",0.236946435160846
"141",0.0344347748330379
"142",0.511830954067692
"143",0.193859041747168
"144",0.370939113334598
"145",0.000203240952801219
"146",0.00915783185677535
"147",0.107278906373367
"148",0.0238156008208182
"149",0.288542628079376
"150",0.205045046950118
"151",0.214283599592796
"152",0.177629931164249
"153",0.10318612092103
"154",0.342485677577042
"155",0.0512696779416424
"156",0.0105097414307021
"157",0.284680407192514
"158",0.580895911183827
"159",0.00912105925533167
"160",0.203336448681905
"161",0.276791742198092
"162",0.205284973635486
"163",0.454391237240691
"164",0.484498210432568
"165",0.0120834956484584
"166",0.371520352971206
"167",0.0329264361708769
"168",0.0259967617037873
"169",0.783176454617955
"170",0.0558174540334117
"171",0.0587133417479014
"172",0.679645503760662
"173",0.110127327297756
"174",0.155390239369703
"175",0.0288400972578924
"176",0.0261917579461928
"177",0.00081348648347522
"178",0.0361132246050659
"179",0.185180810051124
"180",0.573280538334198
"181",0.0144143799278021
"182",0.17728939339105
"183",0.02999162061197
"184",0.691805766060039
"185",0.203396684159391
"186",0.269870716852072
"187",0.659277810827832
"188",0.0588705544428088
"189",0.0157541603515146
"190",0.0622710106462148
"191",0.947327969052109
"192",0.193136060123552
"193",0.19060265595386
"194",0.28127766634374
"195",0.0468569907614138
"196",0.0399122952063982
"197",0.107582598470939
"198",0.308450768379221
"199",0.00601510510838246
"200",0.113248748082925
