"","c.1.99498292622e.05..9.89922484141445e.07..0.0035439308907649.."
"1",1.99498292622e-05
"2",9.89922484141445e-07
"3",0.0035439308907649
"4",2.21931753182254e-08
"5",0.000851021993015799
"6",5.53580189439053e-06
"7",0.000282048768808067
"8",0.0070015038927866
"9",0.000103940154281624
"10",0.0219802785684909
"11",0.000946009314849825
"12",2.97044672709997e-05
"13",1.93270979520945e-05
"14",0.0157999024801695
"15",0.000342909814802798
"16",0.000612789242793265
"17",2.44217139150692e-05
"18",0.00374976334963512
"19",0.0109737607847243
"20",7.32889031659386e-05
"21",0.000389560021991737
"22",0.111295979518751
"23",0.000352434068497683
"24",0.000698965500740521
"25",0.001419808935515
"26",0.00916200995087879
"27",0.00275564984097713
"28",0.000414859948533185
"29",0.00837620241696378
"30",0.00797535672118266
"31",2.01856341438898e-05
"32",0.000612175853684598
"33",7.66625098642702e-06
"34",4.62464348270478e-07
"35",0.00325367596900958
"36",0.000573188388825966
"37",0.000200298867041304
"38",0.00218712476206264
"39",0.00203312572628478
"40",3.15109544374501e-05
"41",6.54070327794543e-05
"42",0.00153735155602835
"43",1.83001463851637e-06
"44",2.4008816442988e-05
"45",6.33602678189567e-05
"46",9.36154099323171e-06
"47",9.14752744895459e-06
"48",1.67857607606189e-05
"49",0.0009010830414446
"50",0.000442552694863412
"51",0.00131073100101218
"52",0.0062381213318235
"53",0.000207112604213474
"54",0.000126297440458835
"55",0.00380714355533386
"56",1.39270040404217e-05
"57",3.27977588801781e-08
"58",0.010499289519606
"59",0.000113382391761173
"60",0.000135381492880169
"61",0.000121536259113894
"62",0.0136134719376418
"63",2.68547371123731e-05
"64",0.000165451171564198
"65",0.000105979501338082
"66",0.00158464505688432
"67",3.79772158852069e-05
"68",5.6060176892029e-08
"69",0.0511200558136397
"70",1.7871164200215e-05
"71",0.155036682995544
"72",1.27608021332396e-05
"73",0.000166922823687558
"74",0.212962036029957
"75",4.43719986448884e-05
"76",7.58156108042818e-05
"77",9.28829173655412e-05
"78",0.00103758122131551
"79",9.90986519504187e-05
"80",0.000888452825652835
"81",2.45970130266971e-05
"82",7.17178846768296e-05
"83",0.000112823940495179
"84",4.23550883439258e-06
"85",5.95899776809032e-08
"86",5.9133059358047e-05
"87",0.000195494296454527
"88",0.000445343648967912
"89",1.25638143917619e-07
"90",1.84829946581843e-05
"91",0.00240658182936108
"92",0.000581290701626897
"93",0.00470525155196366
"94",0.00379106220414897
"95",0.0132828691667123
"96",1.44188986027846e-06
"97",0.0284180996488651
"98",0.000328481892125327
"99",0.00121645762601086
"100",0.0010745833986089
"101",0.00409901160545112
"102",5.9656388656146e-09
"103",1.93029179415041e-05
"104",1.8861175971596e-05
"105",1.68112476360163e-07
"106",0.00789004261222338
"107",0.00136229616530736
"108",1.2253218213148e-05
"109",0.000706680263941777
"110",1.32810491327975e-05
"111",0.00024014203890168
"112",7.685074065762e-06
"113",0.000506372967823998
"114",5.22250035158215e-06
"115",4.43997872489601e-05
"116",7.64765054957484e-05
"117",5.69999293083082e-05
"118",0.000576563311913443
"119",0.000159187019148831
"120",0.0109291318539788
"121",0.00179635240167944
"122",0.000135337096765316
"123",3.51724141747491e-05
"124",4.08340652727303e-05
"125",8.801395890753e-06
"126",0.0033900500864609
"127",6.05321742285853e-05
"128",6.90963771765291e-07
"129",0.0281144571268157
"130",0.00264714942670811
"131",7.45968104601849e-07
"132",1.54835013929899e-10
"133",0.000896012913480271
"134",9.71463292827844e-05
"135",4.85434631219574e-05
"136",0.00101334213954305
"137",1.83988170526845e-05
"138",0.0603324187131127
"139",6.68479333365031e-05
"140",1.85082842637713e-06
"141",0.000141801234076637
"142",5.66391667358565e-05
"143",0.0634184737117447
"144",0.00225987091187188
"145",0.00182027786371669
"146",0.00113725966144264
"147",0.005249812965526
"148",0.0270345033710146
"149",2.00583900656141e-05
"150",3.58373037769037e-07
"151",0.0194026271147303
"152",0.00550389551732185
"153",0.00123816494933072
"154",4.72388390235183e-06
"155",0.0478946656601709
"156",0.0106956155202744
"157",0.000278253183705164
"158",2.58978370713216e-05
"159",0.000126283746279493
"160",0.00168061444270291
"161",1.42152634247627e-05
"162",0.0114940413225789
"163",8.75820885676832e-05
"164",0.000518308216923141
"165",0.0239739625913323
"166",0.00224453079718372
"167",0.00215624587965747
"168",1.76215241840957e-06
"169",0.00162167374346353
"170",0.000295471210985941
"171",0.0768142149179331
"172",9.38968792557671e-05
"173",0.0018958974152196
"174",1.12503013342188e-06
"175",6.71351549037522e-05
"176",1.39682065640894e-05
"177",0.000427174875655834
"178",0.00327748623392119
"179",1.12782946008944e-05
"180",1.15885340510138e-05
"181",3.19908430517844e-07
"182",0.0026582059285164
"183",2.48228432628202e-06
"184",0.043401042010779
"185",7.41453385934427e-05
"186",0.000441926181637797
"187",1.40229882786735e-05
"188",0.000516647043814164
"189",0.0382678796221497
"190",0.000104976308775098
"191",0.000110804213815152
"192",0.0100392977267718
"193",0.00890134748582413
"194",0.00885301323133307
"195",9.78876999900989e-07
"196",0.000186406114481741
"197",3.16333756854788e-05
"198",0.00923498265360117
"199",0.197336033798027
"200",2.34015743142936e-05
