"","c.0.00064634339822667..2.58721903374803e.07..1.0569789997843e.10.."
"1",0.00064634339822667
"2",2.58721903374803e-07
"3",1.0569789997843e-10
"4",4.4788243538113e-06
"5",1.94138542872873e-07
"6",2.85844274603198e-07
"7",4.99735214688648e-08
"8",0.000145680360302943
"9",3.40064870863231e-05
"10",0.000274590631666298
"11",7.62350157682438e-05
"12",0.000861096092149221
"13",1.06973083498166e-10
"14",0.000707869130075271
"15",4.56170129239823e-07
"16",1.11655482528885e-05
"17",7.24044450718963e-05
"18",1.91119560226433e-08
"19",1.90872630759471e-06
"20",0.00789054222215274
"21",0.000215283002922021
"22",0.00491631968082002
"23",5.95911217663826e-05
"24",4.77855669237872e-05
"25",2.63460793594614e-05
"26",1.82618207016059e-07
"27",0.00149030345220822
"28",4.0037771737492e-07
"29",0.00232612264178681
"30",0.000192680268764677
"31",0.00027122444955915
"32",4.29599903638302e-07
"33",4.23592851497277e-07
"34",1.13176863270783e-05
"35",6.95781916534421e-06
"36",0.0721308796232956
"37",0.0399390200587663
"38",1.29690401838026e-05
"39",0.0100392485075957
"40",1.35684396865627e-06
"41",2.92143055677199e-08
"42",1.93641027818821e-06
"43",5.2955404731077e-06
"44",3.36547205371158e-10
"45",2.77572078832959e-05
"46",6.55079674421797e-09
"47",0.000599721259622355
"48",9.19643360453207e-11
"49",0.000128435961835356
"50",1.08632980276014e-06
"51",4.31010191144148e-07
"52",6.68839320897294e-06
"53",1.56659370000888e-05
"54",0.000170608746573916
"55",3.50778895975707e-06
"56",0.000103077224534501
"57",1.61551185401102e-06
"58",3.645376019942e-06
"59",4.19287387609779e-06
"60",4.89377563418392e-05
"61",0.000139505977681286
"62",2.1787489770438e-09
"63",0.00245125936069962
"64",0.00059569608107798
"65",0.00117169989045915
"66",1.59652218484012e-05
"67",2.08714876215172e-07
"68",0.000176123433375083
"69",3.35090437182832e-05
"70",0.000353747191921651
"71",0.0012487207964721
"72",1.7461524720169e-05
"73",4.00115753728935e-05
"74",1.98890709069788e-05
"75",9.07481284809172e-05
"76",0.00084670509870119
"77",0.000670613663438931
"78",0.00110995055023495
"79",5.06706909031415e-05
"80",0.000185443941847432
"81",0.0243374136354434
"82",0.000371869173914715
"83",2.1618994599198e-05
"84",5.03532127120235e-06
"85",5.59614378420127e-06
"86",5.83991087008005e-06
"87",0.000341959080714319
"88",0.000482257051293599
"89",0.000468305139905569
"90",3.13438687866424e-06
"91",0.000164010755598374
"92",1.19613435219708e-07
"93",0.000622086802294033
"94",7.25483225809667e-05
"95",2.76193788525428e-05
"96",1.67601423823283e-05
"97",1.31891503248888e-10
"98",6.52625986386892e-05
"99",1.60660372433048e-07
"100",2.51676708501031e-07
"101",8.04728640397387e-06
"102",7.65425432810531e-05
"103",0.0014067431847971
"104",2.19049190636587e-05
"105",5.572429902736e-07
"106",1.93756642543227e-05
"107",2.08455722628395e-07
"108",0.000236146708288993
"109",9.921613805719e-07
"110",0.000579738437610149
"111",0.000436408351187788
"112",2.04410312616836e-09
"113",3.7411616894725e-06
"114",8.94952129500517e-07
"115",6.11571949074524e-08
"116",1.49062905904327e-06
"117",0.000363556755983279
"118",0.00200759367003368
"119",6.17039868438896e-05
"120",4.69107857590287e-06
"121",7.11316084374722e-08
"122",0.000157859928436434
"123",0.000250804802079898
"124",2.39283062494474e-06
"125",2.61457420470827e-05
"126",1.52185956324738e-06
"127",2.8556662150649e-06
"128",6.32829822574015e-06
"129",0.0384060358408035
"130",1.25782674081644e-07
"131",2.36829736090023e-05
"132",1.65108126467126e-05
"133",6.19126616625013e-05
"134",5.19632043960366e-05
"135",0.00019910042368613
"136",3.81132841799052e-06
"137",4.58534394781783e-06
"138",2.31982765989733e-06
"139",0.000356818707753575
"140",5.06154773853228e-07
"141",2.5915285313494e-05
"142",3.14458473024242e-07
"143",3.47351626468816e-07
"144",1.7940892390011e-05
"145",1.06876895755803e-05
"146",0.00245832598155476
"147",0.000405232879588426
"148",3.08738465765913e-06
"149",5.68154289297102e-06
"150",1.92049928770184e-05
"151",1.26450651784244e-06
"152",2.2543123048798e-05
"153",0.000166225936859794
"154",3.19019775501012e-05
"155",5.00827414782714e-07
"156",1.52654699438415e-07
"157",5.66153995970761e-05
"158",2.73123305724117e-05
"159",1.12356638416734e-05
"160",3.20316950327316e-06
"161",0.000261841714796279
"162",1.76320712314729e-08
"163",5.81316821216748e-08
"164",0.0092925214058375
"165",0.00314412698958439
"166",4.71923720347191e-06
"167",6.35783050013988e-07
"168",7.44774640473208e-08
"169",6.35705401401912e-08
"170",0.00937829997103354
"171",1.29664946236689e-05
"172",1.82343288465298e-05
"173",1.96241058115464e-05
"174",7.16060345092425e-06
"175",7.31376260187026e-07
"176",1.84379210984216e-06
"177",1.98624572672337e-06
"178",6.30504563385656e-06
"179",5.69900418379664e-06
"180",2.67288793427522e-06
"181",0.00474401611421516
"182",2.24436786538162e-05
"183",9.26378677366083e-08
"184",0.00693280875039317
"185",1.35287275688557e-05
"186",2.87983788653272e-07
"187",1.12665515302528e-05
"188",4.43591910837621e-07
"189",0.000688557527861818
"190",4.86351139495065e-07
"191",1.41793214886877e-05
"192",0.000152744686605031
"193",2.76863832765989e-06
"194",5.40666639347588e-09
"195",8.48837153836183e-07
"196",6.39222501841199e-08
"197",0.000158321305995096
"198",0.000694287846014763
"199",2.02845761159991e-09
"200",2.32816516921111e-05
